step,population,food_count,predator_count,avg_energy,avg_fitness,max_generation
100,30,49,0,135.0079999999997,12.833333333333334,7
200,32,49,0,142.19124999999946,24.91875,8
300,36,54,0,142.41388888888818,35.64444444444444,8
400,42,60,0,140.93095238095157,44.14761904761905,9
500,46,60,0,135.2969565217382,52.53478260869567,9
600,52,60,1,135.36846153846048,59.74615384615385,9
700,62,52,1,131.58999999999892,63.82258064516128,11
800,72,59,1,128.56319444444338,67.45972222222223,11
900,82,56,1,129.03731707316967,71.36585365853657,11
1000,90,52,1,128.85311111111,77.42222222222222,11
1100,90,46,1,137.2874444444434,81.94333333333333,11
1200,97,44,2,136.37536082474122,87.32061855670105,11
1300,115,34,2,133.0007826086947,86.63565217391306,11
1400,120,24,2,130.03799999999896,96.1266666666667,11
1500,120,12,1,129.2529166666655,107.98916666666669,11
1600,120,15,1,126.1124999999986,116.17000000000002,11
1700,120,12,2,121.58883333333189,126.85833333333336,11
1800,119,10,2,120.01722689075491,133.99411764705883,11
1900,120,8,1,119.77024999999867,139.70916666666668,11
2000,120,9,1,120.31691666666539,144.9291666666667,11
2100,120,10,2,116.17641666666526,156.0125,11
2200,120,13,2,119.93574999999859,161.48416666666668,11
2300,120,12,2,120.82533333333181,166.15,11
2400,120,11,2,119.08358333333172,175.50916666666672,12
2500,119,10,2,120.1944537815109,182.127731092437,12
2600,120,8,0,117.84174999999827,188.35250000000002,12
2700,120,7,0,116.86366666666483,198.0966666666667,12
2800,120,10,0,117.24466666666476,204.2866666666667,13
2900,120,7,0,116.71633333333126,216.7866666666667,13
3000,120,13,0,113.6924999999978,226.45333333333335,13
3100,119,16,0,112.76159663865315,239.19411764705882,13
3200,120,18,0,110.42916666666426,247.1,13
3300,120,24,0,110.4259999999975,255.48666666666668,13
3400,120,20,0,110.88391666666412,262.4741666666667,13
3500,120,24,0,110.09249999999734,271.85,13
3600,120,20,0,111.56474999999729,279.69083333333333,13
3700,120,15,0,112.16983333333052,289.655,13
3800,120,21,0,108.40316666666371,301.405,13
3900,117,15,0,113.13589743589449,307.26324786324784,13
4000,117,18,0,114.87290598290302,311.06752136752146,13
4100,119,14,0,114.0621008403331,317.0310924369749,13
4200,120,8,1,113.48799999999694,323.51000000000005,13
4300,120,13,1,111.88858333333019,330.1058333333333,13
4400,119,12,2,113.9780672268876,331.67983193277314,13
4500,120,15,2,112.6765833333301,337.94083333333333,13
4600,120,19,2,114.50191666666345,335.16749999999996,13
4700,120,10,2,118.08549999999677,335.04,13
4800,120,14,2,114.96283333332998,346.49833333333333,13
4900,120,16,2,113.20808333332995,348.5325,13
5000,120,11,2,115.5042499999965,358.7425,13
5100,118,15,2,113.02745762711506,367.14406779661016,13
5200,119,16,2,113.57949579831576,367.7865546218487,13
5300,120,11,2,113.42374999999626,362.6458333333333,13
5400,118,6,1,116.43771186440303,365.1669491525424,13
5500,120,3,2,113.57483333332958,366.77333333333337,13
5600,120,4,2,115.75149999999628,363.46833333333336,13
5700,119,4,2,117.30773109243323,368.3243697478991,13
5800,120,3,2,116.20133333332949,376.9066666666667,13
5900,118,8,2,113.69720338982654,385.7889830508474,13
6000,120,9,2,112.10133333332935,386.72333333333336,13
6100,120,10,2,112.5143333333293,390.53000000000003,13
6200,120,11,2,109.81549999999586,399.1716666666667,12
6300,118,9,2,111.77906779660606,396.87372881355924,13
6400,120,9,2,110.52874999999591,395.63416666666666,13
6500,120,12,2,111.06433333332916,401.665,13
6600,118,9,2,113.68567796609757,400.699152542373,13
6700,120,7,1,114.54658333332937,391.81083333333333,13
6800,118,10,0,115.09974576270784,403.03983050847467,13
6900,120,9,0,115.61541666666263,408.5191666666667,13
7000,119,12,0,117.01823529411361,406.4226890756304,13
7100,119,10,0,116.60478991596233,414.55378151260516,13
7200,120,8,0,118.45224999999596,414.6358333333334,13
7300,119,6,0,116.49781512604629,429.63361344537833,13
7400,120,6,0,113.97999999999587,431.4800000000001,13
7500,120,10,0,113.41799999999581,440.6216666666667,13
7600,120,13,1,112.44899999999569,453.03833333333336,13
7700,120,17,1,112.64141666666237,453.46416666666676,13
7800,120,9,1,114.67374999999561,464.4075000000001,13
7900,120,5,1,112.96983333332888,473.5950000000001,13
8000,119,11,1,110.3202521008358,481.4882352941178,13
